2026-07-08 15:20:18 | INFO     | app | App created: Elevator Configuration Engine v0.1.0 [development] | API prefix: /api/v1
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator | Catalogue validation failed with 1 errors.
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator |  - Duplicate ID found for ElevatorCategory: CAT-A
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator | Catalogue validation failed with 1 errors.
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator |  - Missing 'id' in a ElevatorCategory record.
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator | Catalogue validation failed with 1 errors.
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator |  - Schema validation failed for Component 'COMP-1': 1 validation error for Component
category
  Input should be 'Structural', 'Mechanical', 'Electrical', 'Control', 'Safety', 'Cabin' or 'Door' [type=enum, input_value='INVALID_CATEGORY', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/enum
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator | Catalogue validation failed with 1 errors.
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator |  - Feature 'F-1' references unknown category_id: BAD-CAT
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator | Catalogue validation failed with 1 errors.
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator |  - Dependency 'DEP-1' references unknown target_id: BAD-COMP
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator | Catalogue validation failed with 1 errors.
2026-07-08 15:20:18 | ERROR    | app.utils.catalogue_validator |  - Feature 'F-1' references inactive category_id: CAT-A
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\components.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'components.json': Required data file not found: 'components.json'
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\features.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'features.json': Required data file not found: 'features.json'
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\dependencies.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'dependencies.json': Required data file not found: 'dependencies.json'
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\rules.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'rules.json': Required data file not found: 'rules.json'
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\pricing.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'pricing.json': Required data file not found: 'pricing.json'
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\categories.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'categories.json': Required data file not found: 'categories.json'
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\catalog_metadata.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'catalog_metadata.json': Required data file not found: 'catalog_metadata.json'
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\feature_mappings.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'feature_mappings.json': Required data file not found: 'feature_mappings.json'
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\feature_groups.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'feature_groups.json': Required data file not found: 'feature_groups.json'
2026-07-08 15:20:18 | ERROR    | app.utils.data_loader | Data file not found: app\data\feature_options.json
2026-07-08 15:20:18 | WARNING  | app.utils.data_loader | Validation failed for 'feature_options.json': Required data file not found: 'feature_options.json'
2026-07-08 15:20:18 | CRITICAL | app.core.startup | Startup validation failed. The following data files are missing or malformed: ['components.json', 'features.json', 'dependencies.json', 'rules.json', 'pricing.json', 'categories.json', 'catalog_metadata.json', 'feature_mappings.json', 'feature_groups.json', 'feature_options.json']. Ensure all JSON files exist in 'app/data'.
2026-07-08 15:20:18 | CRITICAL | app.core.startup | Fatal startup error: Startup validation failed. The following data files are missing or malformed: ['components.json', 'features.json', 'dependencies.json', 'rules.json', 'pricing.json', 'categories.json', 'catalog_metadata.json', 'feature_mappings.json', 'feature_groups.json', 'feature_options.json']. Ensure all JSON files exist in 'app/data'.
2026-07-08 15:20:19 | ERROR    | app.utils.data_loader | Data file not found: app\data\components.json
2026-07-08 15:20:19 | WARNING  | app.utils.data_loader | Validation failed for 'components.json': Required data file not found: 'components.json'
2026-07-08 15:20:19 | ERROR    | app.utils.data_loader | Data file not found: app\data\features.json
2026-07-08 15:20:19 | WARNING  | app.utils.data_loader | Validation failed for 'features.json': Required data file not found: 'features.json'
2026-07-08 15:20:19 | ERROR    | app.utils.data_loader | Data file not found: app\data\dependencies.json
2026-07-08 15:20:19 | WARNING  | app.utils.data_loader | Validation failed for 'dependencies.json': Required data file not found: 'dependencies.json'
2026-07-08 15:20:19 | ERROR    | app.utils.data_loader | Data file not found: app\data\rules.json
2026-07-08 15:20:19 | WARNING  | app.utils.data_loader | Validation failed for 'rules.json': Required data file not found: 'rules.json'
2026-07-08 15:20:19 | ERROR    | app.utils.data_loader | Data file not found: app\data\pricing.json
2026-07-08 15:20:19 | WARNING  | app.utils.data_loader | Validation failed for 'pricing.json': Required data file not found: 'pricing.json'
2026-07-08 15:20:19 | ERROR    | app.utils.data_loader | Data file not found: app\data\categories.json
2026-07-08 15:20:19 | WARNING  | app.utils.data_loader | Validation failed for 'categories.json': Required data file not found: 'categories.json'
2026-07-08 15:20:19 | ERROR    | app.utils.data_loader | Data file not found: app\data\catalog_metadata.json
2026-07-08 15:20:19 | WARNING  | app.utils.data_loader | Validation failed for 'catalog_metadata.json': Required data file not found: 'catalog_metadata.json'
2026-07-08 15:20:19 | ERROR    | app.utils.data_loader | Data file not found: app\data\feature_mappings.json
2026-07-08 15:20:19 | WARNING  | app.utils.data_loader | Validation failed for 'feature_mappings.json': Required data file not found: 'feature_mappings.json'
2026-07-08 15:20:19 | ERROR    | app.utils.data_loader | Data file not found: app\data\feature_groups.json
